2025-06-10 21:10:03.917 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:520] Initializing com.liferay.site.initializer.welcome for group 39423
2025-06-10 21:10:04.233 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateAssetLinkEntries took 0 ms
2025-06-10 21:10:04.233 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addFragmentEntries took 0 ms
2025-06-10 21:10:04.233 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addUserAccounts took 0 ms
2025-06-10 21:10:04.233 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addUserRoles took 0 ms
2025-06-10 21:10:04.233 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addRolesAssignments took 0 ms
2025-06-10 21:10:04.234 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addObjectDefinitions took 1 ms
2025-06-10 21:10:04.234 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateSegmentsEntries took 0 ms
2025-06-10 21:10:04.234 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateObjectRelationships took 0 ms
2025-06-10 21:10:04.234 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateObjectFields took 0 ms
2025-06-10 21:10:04.234 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking publishObjectDefinitions took 0 ms
2025-06-10 21:10:04.234 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateAccountEntryRestrictions took 0 ms
2025-06-10 21:10:04.234 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateObjectActions took 0 ms
2025-06-10 21:10:04.235 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addAssetListEntries took 0 ms
2025-06-10 21:10:04.235 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateNotificationTemplates took 0 ms
2025-06-10 21:10:04.235 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateObjectEntries took 0 ms
2025-06-10 21:10:04.238 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateDDMTemplates took 3 ms
2025-06-10 21:10:04.239 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addCPDefinitions took 0 ms
2025-06-10 21:10:04.239 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateJournalArticles took 0 ms
2025-06-10 21:10:04.435 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addLayoutUtilityPageEntries took 195 ms
2025-06-10 21:10:04.435 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addLayoutPageTemplates took 0 ms
2025-06-10 21:10:04.450 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateLayoutsContent took 15 ms
2025-06-10 21:10:04.450 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addSegmentsExperiences took 0 ms
2025-06-10 21:10:04.450 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateResourcePermissions took 0 ms
2025-06-10 21:10:04.451 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addExpandoValues took 0 ms
2025-06-10 21:10:04.451 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:538] Initialized com.liferay.site.initializer.welcome for group 39423 in 534 ms
